"Thank you for your support request. We will come back to you as soon as possible.","Vielen dank für die Supportanfrage. Wir kümmern uns um das Anliegen und reagieren darauf so zeitig wie möglich."
"Support request form","Support Anfrageformular"
"Klarna Products","Klarna Produkte"
"Contact name","Kontaktname"
"Email","Email"
"Shop url","Shop url"
"Klarna API username","Klarna API Benutzername"
"See Klarna settings at Stores > Configuration > Sales > Payment Methods","Siehe die Klarna Bezahlmethoden Einstellungen bei Stores > Configuration > Sales > Payment Methods"
"Describe your issue or question","Bitte beschreibe das Problem oder stelle die Frage"
"Please add specific details of the problem","Bitte füge so viele Details wie möglich zum Problem hinzu"
"Steps to reproduce","Schritte zur Reproduzierung"
"If applicable, describe the steps to reproduce an issue/error. This can significantly decrease a resolution time.","Wenn nötig, beschreibe die Schritte zur Reproduzierung. Dies kann die Bearbeitungszeit erheblich reduzieren."
"Include Klarna settings","Klarna Einstellungen hinzufügen"
"If selected, we will attach Klarna settings to the request. These settings can be very helpful for us to understand the case better.","Wird diese Option ausgewählt, werden Klarna Einstellungen der Anfrage hinzugefügt. Diese können sehr hilfreich sein, um den Problemfall besser nachzuvollziehen."
"If selected, we will attach tax settings to the request. These settings can be very helpful for us if your problem is related to tax calculations, order amount calculations and order amount mismatch between Klarna and Magento.","Wird diese Option ausgewählt, werden Steuereinstellungen der Anfrage hinzugefügt. Dies kann sehr nützlich sein, wenn es Probleme bei der Bestellmengenberechnung oder Bestellmengenfehlern zwischen dem Shop und Klarna gibt"
"Please make sure you don't exceed the max file size configured for your system.","Bitte stelle sicher, dass die maximale Dateigröße des Systems nicht überschritten wird."
"Delete image","Lösche das Bild"
"Include tax settings","Steuereinstellungen hinzufügen"
"Attachments (.jpg, .jpeg, .png, .txt, .log, .pdf, .zip, .rar)","Anhänge (.jpg, .jpeg, .png, .txt, .log, .pdf, .zip, .rar)"
